iter: 0, trainloss: 7446.95, valloss: 8215.99, testloss: 5863.11, lr: 0.000000, time_diff: 80.448547
iter: 5000, trainloss: 4188.35, valloss: 4296.95, testloss: 3387.61, lr: 0.000500, time_diff: 1976.593888
iter: 10000, trainloss: 3992.88, valloss: 4274.02, testloss: 3547.13, lr: 0.001000, time_diff: 1948.214260
iter: 15000, trainloss: 4549.88, valloss: 4170.64, testloss: 3287.85, lr: 0.001500, time_diff: 1952.753670
iter: 20000, trainloss: 4362.86, valloss: 4600.97, testloss: 3704.24, lr: 0.002000, time_diff: 1961.984379
iter: 25000, trainloss: 4048.75, valloss: 4453.22, testloss: 3415.82, lr: 0.002500, time_diff: 1950.617859
iter: 30000, trainloss: 4190.37, valloss: 4312.29, testloss: 3321.83, lr: 0.003000, time_diff: 1937.256760
iter: 35000, trainloss: 4012.98, valloss: 4152.57, testloss: 3565.66, lr: 0.003500, time_diff: 1933.318001
iter: 40000, trainloss: 4001.56, valloss: 4191.05, testloss: 3869.89, lr: 0.004000, time_diff: 1934.338002
iter: 45000, trainloss: 4024.94, valloss: 4552.39, testloss: 3650.66, lr: 0.004500, time_diff: 1934.227713
iter: 50000, trainloss: 4158.63, valloss: 4391.03, testloss: 3619.79, lr: 0.005000, time_diff: 1935.959936
iter: 55000, trainloss: 4177.14, valloss: 4471.67, testloss: 3552.70, lr: 0.005000, time_diff: 1933.474842
iter: 60000, trainloss: 4135.73, valloss: 4370.03, testloss: 3449.84, lr: 0.005000, time_diff: 1927.978764
iter: 65000, trainloss: 4000.25, valloss: 4289.46, testloss: 3314.35, lr: 0.005000, time_diff: 1915.579406
iter: 70000, trainloss: 3974.52, valloss: 4229.20, testloss: 3822.84, lr: 0.005000, time_diff: 1910.359311
iter: 75000, trainloss: 3897.25, valloss: 4405.73, testloss: 3687.47, lr: 0.005000, time_diff: 1911.396927
iter: 80000, trainloss: 4151.73, valloss: 4294.52, testloss: 3686.89, lr: 0.005000, time_diff: 1913.342017
iter: 85000, trainloss: 3871.68, valloss: 4269.55, testloss: 3601.35, lr: 0.005000, time_diff: 1912.201118
iter: 90000, trainloss: 3976.06, valloss: 4481.04, testloss: 3475.32, lr: 0.005000, time_diff: 1911.863283
iter: 95000, trainloss: 4001.62, valloss: 4564.62, testloss: 3555.25, lr: 0.005000, time_diff: 1919.936660
iter: 100000, trainloss: 3909.36, valloss: 4301.19, testloss: 3652.87, lr: 0.005000, time_diff: 1902.678549
iter: 105000, trainloss: 4009.52, valloss: 4227.42, testloss: 3496.02, lr: 0.005000, time_diff: 1880.503025
iter: 110000, trainloss: 4052.78, valloss: 4478.80, testloss: 3466.63, lr: 0.005000, time_diff: 1876.703669
iter: 115000, trainloss: 3898.52, valloss: 4373.44, testloss: 3367.09, lr: 0.005000, time_diff: 1872.290705
iter: 120000, trainloss: 3825.86, valloss: 4212.10, testloss: 3728.81, lr: 0.005000, time_diff: 1871.660732
iter: 125000, trainloss: 4161.98, valloss: 4356.53, testloss: 3651.96, lr: 0.005000, time_diff: 1875.293496
iter: 130000, trainloss: 3680.27, valloss: 4296.90, testloss: 3626.95, lr: 0.004999, time_diff: 1880.939569
iter: 135000, trainloss: 3885.11, valloss: 4365.56, testloss: 3360.05, lr: 0.004999, time_diff: 1875.638858
iter: 140000, trainloss: 4262.94, valloss: 4110.15, testloss: 3553.64, lr: 0.004999, time_diff: 1873.236347
iter: 145000, trainloss: 4021.09, valloss: 4393.88, testloss: 3595.25, lr: 0.004999, time_diff: 1873.634635
iter: 150000, trainloss: 3900.55, valloss: 4562.59, testloss: 3879.96, lr: 0.004999, time_diff: 1871.614702
iter: 155000, trainloss: 3887.07, valloss: 4376.75, testloss: 3740.23, lr: 0.004999, time_diff: 1868.713537
iter: 160000, trainloss: 4064.31, valloss: 4171.31, testloss: 3725.70, lr: 0.004999, time_diff: 1869.695470
iter: 165000, trainloss: 4033.48, valloss: 4517.01, testloss: 3484.30, lr: 0.004999, time_diff: 1868.443202
iter: 170000, trainloss: 4170.10, valloss: 4361.47, testloss: 3465.55, lr: 0.004999, time_diff: 1876.850986
iter: 175000, trainloss: 4089.64, valloss: 4609.37, testloss: 3464.57, lr: 0.004999, time_diff: 1870.735817
iter: 180000, trainloss: 4030.44, valloss: 4427.31, testloss: 3441.58, lr: 0.004999, time_diff: 1868.743707
iter: 185000, trainloss: 4124.47, valloss: 4403.59, testloss: 3331.75, lr: 0.004999, time_diff: 1869.584723
iter: 190000, trainloss: 4119.49, valloss: 4415.51, testloss: 3475.65, lr: 0.004999, time_diff: 1868.353397
iter: 195000, trainloss: 4237.03, valloss: 4452.97, testloss: 3605.06, lr: 0.004999, time_diff: 1871.424708
iter: 200000, trainloss: 4041.82, valloss: 4312.69, testloss: 3595.26, lr: 0.004999, time_diff: 1869.416746
iter: 205000, trainloss: 4149.32, valloss: 4216.79, testloss: 3602.97, lr: 0.004999, time_diff: 1872.054013
iter: 210000, trainloss: 4075.59, valloss: 4274.49, testloss: 3656.74, lr: 0.004999, time_diff: 1868.427338
iter: 215000, trainloss: 4128.97, valloss: 4667.87, testloss: 3577.67, lr: 0.004999, time_diff: 1869.662570
iter: 220000, trainloss: 4146.49, valloss: 4514.77, testloss: 3594.48, lr: 0.004999, time_diff: 1865.740702
iter: 225000, trainloss: 3978.01, valloss: 4581.79, testloss: 3380.25, lr: 0.004998, time_diff: 2040.906589
iter: 230000, trainloss: 3990.31, valloss: 4191.51, testloss: 3525.23, lr: 0.004998, time_diff: 1869.191628
iter: 235000, trainloss: 4115.32, valloss: 4059.60, testloss: 3609.65, lr: 0.004998, time_diff: 1866.877660
iter: 240000, trainloss: 4134.32, valloss: 4489.35, testloss: 3674.47, lr: 0.004998, time_diff: 1870.887967
iter: 245000, trainloss: 4269.73, valloss: 4151.29, testloss: 3673.88, lr: 0.004998, time_diff: 1875.695425
iter: 250000, trainloss: 4452.66, valloss: 4151.84, testloss: 3663.62, lr: 0.004998, time_diff: 1872.128681
iter: 255000, trainloss: 4287.12, valloss: 4375.46, testloss: 3569.77, lr: 0.004998, time_diff: 1867.340759
iter: 260000, trainloss: 3969.90, valloss: 4329.41, testloss: 3504.73, lr: 0.004998, time_diff: 1868.719573
iter: 265000, trainloss: 4155.41, valloss: 4417.40, testloss: 3489.42, lr: 0.004998, time_diff: 1868.304984
iter: 270000, trainloss: 4096.91, valloss: 4482.21, testloss: 3673.55, lr: 0.004998, time_diff: 1870.320655
iter: 275000, trainloss: 4097.46, valloss: 4299.16, testloss: 3774.70, lr: 0.004998, time_diff: 1865.565928
iter: 280000, trainloss: 4245.25, valloss: 4303.25, testloss: 3755.97, lr: 0.004998, time_diff: 1869.636336
iter: 285000, trainloss: 4140.62, valloss: 4282.36, testloss: 3612.36, lr: 0.004997, time_diff: 1866.874083
iter: 290000, trainloss: 3956.12, valloss: 4451.70, testloss: 3434.86, lr: 0.004997, time_diff: 1868.120638
iter: 295000, trainloss: 3962.09, valloss: 4329.26, testloss: 3699.46, lr: 0.004997, time_diff: 1867.986028
iter: 300000, trainloss: 4047.51, valloss: 4403.20, testloss: 3521.14, lr: 0.004997, time_diff: 1869.110421
iter: 305000, trainloss: 4140.58, valloss: 4454.22, testloss: 3499.11, lr: 0.004997, time_diff: 1867.880203
iter: 310000, trainloss: 4188.63, valloss: 4326.16, testloss: 3417.40, lr: 0.004997, time_diff: 1868.918584
iter: 315000, trainloss: 3881.80, valloss: 4288.64, testloss: 3508.99, lr: 0.004997, time_diff: 1869.148967
iter: 320000, trainloss: 4321.67, valloss: 4472.76, testloss: 3576.26, lr: 0.004997, time_diff: 1866.757675
iter: 325000, trainloss: 3989.68, valloss: 4403.08, testloss: 3548.99, lr: 0.004997, time_diff: 1874.799748
iter: 330000, trainloss: 4137.61, valloss: 4619.06, testloss: 3645.13, lr: 0.004997, time_diff: 1868.427058
iter: 335000, trainloss: 4198.60, valloss: 4388.24, testloss: 3532.35, lr: 0.004997, time_diff: 1867.904131
iter: 340000, trainloss: 3741.68, valloss: 4327.87, testloss: 3492.08, lr: 0.004996, time_diff: 1867.496952
iter: 345000, trainloss: 4326.79, valloss: 4567.38, testloss: 3567.54, lr: 0.004996, time_diff: 1867.022814
iter: 350000, trainloss: 4244.57, valloss: 4304.06, testloss: 3512.95, lr: 0.004996, time_diff: 1869.637535
iter: 355000, trainloss: 4095.50, valloss: 4218.43, testloss: 3712.68, lr: 0.004996, time_diff: 1869.658062
iter: 360000, trainloss: 4058.55, valloss: 4431.63, testloss: 3447.21, lr: 0.004996, time_diff: 1873.575491
